the day the prediction is made,the week of the target variable,Scenario,Real,Prediction,difference,Model,future-social-distancing-encounters-grade,future-social-distancing-total-grade,future-social-distancing-travel-distance-grade,MASE (test),MAPE (test),MAE (test),RMSE (test),Weekly MAE,Weekly MAPE
2020-10-04,24 Feb -- 01 Mar 2020,,0.14,0.14,0.0,KNN,,,,0.42,9.28,77.51,106.94,,
2020-10-04,02 Mar -- 08 Mar 2020,,2.86,2.86,0.0,KNN,,,,,,,,,
2020-10-04,09 Mar -- 15 Mar 2020,,7.0,7.0,0.0,KNN,,,,,,,,,
2020-10-04,16 Mar -- 22 Mar 2020,,72.0,72.0,0.0,KNN,,,,,,,,,
2020-10-04,23 Mar -- 29 Mar 2020,,414.0,414.0,0.0,KNN,,,,,,,,,
2020-10-04,30 Mar -- 05 Apr 2020,,1279.14,1279.14,0.0,KNN,,,,,,,,,
2020-10-04,06 Apr -- 12 Apr 2020,,2124.0,2124.0,0.0,KNN,,,,,,,,,
2020-10-04,13 Apr -- 19 Apr 2020,,2166.71,2166.71,0.0,KNN,,,,,,,,,
2020-10-04,20 Apr -- 26 Apr 2020,,2117.29,2117.29,0.0,KNN,,,,,,,,,
2020-10-04,27 Apr -- 03 May 2020,,1901.29,1901.29,0.0,KNN,,,,,,,,,
2020-10-04,04 May -- 10 May 2020,,1725.57,1725.57,0.0,KNN,,,,,,,,,
2020-10-04,11 May -- 17 May 2020,,1404.86,1404.86,0.0,KNN,,,,,,,,,
2020-10-04,18 May -- 24 May 2020,,1200.57,1200.57,0.0,KNN,,,,,,,,,
2020-10-04,25 May -- 31 May 2020,,958.0,958.0,0.0,KNN,,,,,,,,,
2020-10-04,01 Jun -- 07 Jun 2020,,839.71,839.71,0.0,KNN,,,,,,,,,
2020-10-04,08 Jun -- 14 Jun 2020,,726.57,726.57,0.0,KNN,,,,,,,,,
2020-10-04,15 Jun -- 21 Jun 2020,,602.43,602.43,0.0,KNN,,,,,,,,,
2020-10-04,22 Jun -- 28 Jun 2020,,560.86,560.86,0.0,KNN,,,,,,,,,
2020-10-04,29 Jun -- 05 Jul 2020,,522.29,522.29,0.0,KNN,,,,,,,,,
2020-10-04,06 Jul -- 12 Jul 2020,,772.43,772.43,0.0,KNN,,,,,,,,,
2020-10-04,13 Jul -- 19 Jul 2020,,777.0,777.0,0.0,KNN,,,,,,,,,
2020-10-04,20 Jul -- 26 Jul 2020,,919.0,919.0,0.0,KNN,,,,,,,,,
2020-10-04,27 Jul -- 02 Aug 2020,,1129.86,1129.86,0.0,KNN,,,,,,,,,
2020-10-04,03 Aug -- 09 Aug 2020,,1052.14,1052.14,0.0,KNN,,,,,,,,,
2020-10-04,10 Aug -- 16 Aug 2020,,1014.86,1014.86,0.0,KNN,,,,,,,,,
2020-10-04,17 Aug -- 23 Aug 2020,,963.14,963.14,0.0,KNN,,,,,,,,,
2020-10-04,24 Aug -- 30 Aug 2020,,892.57,892.57,0.0,KNN,,,,,,,,,
2020-10-04,31 Aug -- 06 Sep 2020,,847.29,847.29,0.0,KNN,,,,,,,,,
2020-10-04,07 Sep -- 13 Sep 2020,,730.86,730.86,0.0,KNN,,,,,,,,,
2020-10-04,14 Sep -- 20 Sep 2020,,776.86,776.86,0.0,KNN,,,,,,,,,
2020-10-04,21 Sep -- 27 Sep 2020,,749.57,749.57,0.0,KNN,,,,,,,,,
2020-10-04,28 Sep -- 04 Oct 2020,,709.29,709.29,0.0,KNN,,,,,,,,,
2020-10-04,05 Oct -- 11 Oct 2020,,,813.93,,KNN,,,,,,,,,
2020-10-04,12 Oct -- 18 Oct 2020,,,958.53,,KNN,,,,,,,,,
2020-10-04,19 Oct -- 25 Oct 2020,,,875.36,,KNN,,,,,,,,,
2020-10-04,26 Oct -- 01 Nov 2020,,,843.2,,KNN,,,,,,,,,
2020-10-04,19 Oct -- 25 Oct 2020,SD in 4 weeks ago,793.57,875.34,81.77,KNN,2.0,1.64,1.29,0.42,9.26,77.35,106.79,77.84,9.37
2020-10-04,19 Oct -- 25 Oct 2020,minimum grade,793.57,875.35,81.78,KNN,1.0,1.0,1.0,,,,,78.24,9.46
2020-10-04,19 Oct -- 25 Oct 2020,medium grade,793.57,875.08,81.51,KNN,3.0,3.0,3.0,,,,,78.53,9.53
2020-10-04,19 Oct -- 25 Oct 2020,maximum grade,793.57,874.11,80.54,KNN,5.0,5.0,5.0,,,,,78.7,9.58
2020-10-04,26 Oct -- 01 Nov 2020,SD in 4 weeks ago,,843.22,,KNN,2.0,1.57,1.14,,,,,,
2020-10-04,26 Oct -- 01 Nov 2020,minimum grade,,843.2,,KNN,1.0,1.0,1.0,,,,,,
2020-10-04,26 Oct -- 01 Nov 2020,medium grade,,843.59,,KNN,3.0,3.0,3.0,,,,,,
2020-10-04,26 Oct -- 01 Nov 2020,maximum grade,,844.79,,KNN,5.0,5.0,5.0,,,,,,
